stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2015,7,1,26.4,14.0,20.6
352200375,WARSZAWA,2015,7,2,26.9,15.4,21.5
352200375,WARSZAWA,2015,7,3,29.2,16.2,23.3
352200375,WARSZAWA,2015,7,4,31.6,14.3,23.9
352200375,WARSZAWA,2015,7,5,34.5,15.5,26.7
352200375,WARSZAWA,2015,7,6,31.9,17.5,24.6
352200375,WARSZAWA,2015,7,7,30.3,13.5,23.1
352200375,WARSZAWA,2015,7,8,28.0,18.1,20.6
352200375,WARSZAWA,2015,7,9,23.3,14.2,17.0
352200375,WARSZAWA,2015,7,10,15.8,11.7,13.3
352200375,WARSZAWA,2015,7,11,18.7,11.9,15.7
352200375,WARSZAWA,2015,7,12,23.7,11.6,18.0
352200375,WARSZAWA,2015,7,13,22.0,15.4,17.7
352200375,WARSZAWA,2015,7,14,22.5,15.2,18.1
352200375,WARSZAWA,2015,7,15,23.4,13.8,18.5
352200375,WARSZAWA,2015,7,16,25.4,12.2,19.5
352200375,WARSZAWA,2015,7,17,27.8,13.1,21.7
352200375,WARSZAWA,2015,7,18,35.7,15.9,24.2
352200375,WARSZAWA,2015,7,19,30.0,17.7,22.1
352200375,WARSZAWA,2015,7,20,23.9,16.8,19.7
352200375,WARSZAWA,2015,7,21,24.7,10.9,19.1
352200375,WARSZAWA,2015,7,22,29.0,17.6,23.4
352200375,WARSZAWA,2015,7,23,29.2,20.3,23.5
352200375,WARSZAWA,2015,7,24,27.1,16.7,22.5
352200375,WARSZAWA,2015,7,25,32.9,18.8,23.7
352200375,WARSZAWA,2015,7,26,20.2,15.9,17.7
352200375,WARSZAWA,2015,7,27,21.6,10.0,16.8
352200375,WARSZAWA,2015,7,28,21.7,14.9,18.0
352200375,WARSZAWA,2015,7,29,22.3,13.0,17.8
352200375,WARSZAWA,2015,7,30,21.6,12.3,16.4
352200375,WARSZAWA,2015,7,31,19.9,10.5,15.6
